16711848984,29-A-43210,Violet,Porche,05:01 AM,2022-12-16,05:01 PM,2022-12-16,1,0,0
16711849022,96-B-34810,Yellow,Huyndai,01:01 PM,2022-12-16,05:01 PM,2022-12-16,5,0,0
16711849040,37-I-12610,Red,Kia,11:01 PM,2022-12-16,05:01 PM,2022-12-16,9,0,0
16712884740,96-E-32510,Blue,Kia,09:47 PM,2022-12-17,09:47 PM,2022-12-17,3,0,0
16714318340,74-B-14710,Red,Mercedes,01:37 PM,2022-12-19,01:37 PM,2022-12-19,6,0,0
16714318567,92-D-52310,Pink,Vinfast,01:37 PM,2022-12-19,01:37 PM,2022-12-19,7,0,0
16714346766,43-D-74010,White,Lamborghini,02:24 PM,2022-12-19,02:24 PM,2022-12-19,2,0,0
16714346920,43-A-47310,Yellow,Vinfast,02:24 PM,2022-12-19,02:24 PM,2022-12-19,8,0,016714349428,75-C-84810,Green,Toyota,02:29 PM,2022-12-19,02:29 PM,2022-12-19,4,0,0
16714350551,51-F-29910,Pink,Kia,02:30 PM,2022-12-19,02:30 PM,2022-12-19,4,0,0
16714353140,51-G-14010,Blue,Ferrari,02:35 PM,2022-12-19,02:35 PM,2022-12-19,10,0,0
16714353159,51-K-2810,Violet,Toyota,02:35 PM,2022-12-19,02:35 PM,2022-12-19,11,0,0
16714353171,96-I-15910,Blue,Vinfast,02:35 PM,2022-12-19,02:35 PM,2022-12-19,12,0,0
16714353179,92-B-14210,Red,Ferrari,02:35 PM,2022-12-19,02:35 PM,2022-12-19,13,0,0
